challenge_id,title,category_id,description,xp,difficulty,evidence_required,deadline,status
1,Expedite Cross-Platform Relationships,7,Friend west analysis second ready under father return other.,50,Hard,False,2026-06-16,Completed
2,Optimize Proactive E-Services,7,Little whatever west hit economy involve management.,150,Medium,False,2026-08-23,Active
3,Reinvent Value-Added Content,6,Parent foreign floor gun site bad culture.,500,Easy,False,2026-09-03,Under Review
4,Incentivize Transparent Partnerships,7,Loss name claim interview black authority.,250,Easy,True,2026-08-18,Active
5,Architect Mission-Critical E-Markets,8,Write will community card leave through dog Mrs similar service sister family.,100,Medium,True,2026-08-06,Completed
6,Empower Out-Of-The-Box Portals,8,Current easy early check this official for how yeah.,500,Easy,True,2026-07-06,Draft
7,Enhance Mission-Critical Experiences,9,Yard bill listen standard subject trial American family budget couple win.,250,Hard,False,2026-07-27,Draft
8,Re-Contextualize Intuitive Relationships,7,Term last employee sing watch black other people design hard center daughter.,100,Medium,False,2026-08-03,Active
9,Expedite Best-Of-Breed Synergies,7,Important head perform back all many low impact somebody professional.,500,Hard,True,2026-07-04,Archived
10,Incubate E-Business Experiences,8,Huge even write property individual anything seat this.,150,Hard,False,2026-06-25,Under Review
11,Utilize Bricks-And-Clicks Experiences,8,Hospital if walk its church box bed official.,150,Easy,False,2026-07-18,Under Review
12,Revolutionize Granular Channels,7,Appear central southern however of until.,100,Easy,True,2026-07-14,Active
13,Leverage B2B Convergence,7,Class commercial attack himself send society source feeling study.,150,Easy,False,2026-08-17,Under Review
14,Redefine Compelling Vortals,7,Part player beat Republican read through.,500,Hard,True,2026-06-14,Under Review
15,Iterate Magnetic E-Business,9,Pass cultural list not among voice choose grow change wife spring.,50,Easy,True,2026-08-08,Draft
16,Matrix Robust Web Services,7,Brother outside nearly phone fill information old international probably land.,250,Medium,True,2026-06-28,Completed
17,Utilize Clicks-And-Mortar E-Business,7,Let land peace standard student specific hundred attack grow half sort mean.,50,Easy,True,2026-07-20,Under Review
18,Integrate End-To-End Infrastructures,7,Sing memory approach mean help week carry tax you rule.,50,Medium,True,2026-08-09,Archived
19,Aggregate End-To-End Models,8,What trouble close small us assume go series city.,50,Easy,False,2026-08-24,Completed
20,Empower Ubiquitous Eyeballs,6,Maybe turn decade enjoy media five already consider claim.,150,Medium,True,2026-08-31,Active
